"Event_ID","Company_name","Country","Currency","Ticker","Stock_exchange","Market_index","Event_date","Event_start","Event_end","Estimation_start","Estimation_end","Estimation_dates","FX_weighted","FX_weighted_pct_change","Market_return","World_return","Stock_return","Relative_trading_day"
1,"Air France-KLM","France","EUR","AFPA","Euronext","CAC40",2024-09-23,2024-09-21,2024-09-24,2024-03-17,2024-09-27,2024-03-18,1.56360554687591,NA,-0.00198546118184547,0.0052452698905451,-0.00207732210477918,-135
1,"Air France-KLM","France","EUR","AFPA","Euronext","CAC40",2024-09-23,2024-09-21,2024-09-24,2024-03-17,2024-09-27,2024-03-19,1.56397015515129,0.0233184306684657,0.00649350649350636,0.00375665178795914,-0.0101997892149432,-134
1,"Air France-KLM","France","EUR","AFPA","Euronext","CAC40",2024-09-23,2024-09-21,2024-09-24,2024-03-17,2024-09-27,2024-03-20,1.55966224580151,-0.275447030468298,-0.0048335274141725,0.00634177823225878,-0.00105154875301357,-133
1,"Air France-KLM","France","EUR","AFPA","Euronext","CAC40",2024-09-23,2024-09-21,2024-09-24,2024-03-17,2024-09-27,2024-03-21,1.56483100356122,0.331402377252898,0.00224348488802798,0.00579813698245044,0.0262104837517989,-132
1,"Air France-KLM","France","EUR","AFPA","Euronext","CAC40",2024-09-23,2024-09-21,2024-09-24,2024-03-17,2024-09-27,2024-03-22,1.57189077502211,0.451152325383744,-0.0033986493425203,-0.00191283638406964,0.000410366593830715,-131
1,"Air France-KLM","France","EUR","AFPA","Euronext","CAC40",2024-09-23,2024-09-21,2024-09-24,2024-03-17,2024-09-27,2024-03-25,1.56770176632351,-0.266494896793183,-3.92545559818679e-05,-0.00231613829154174,0.00174307371189452,-130
1,"Air France-KLM","France","EUR","AFPA","Euronext","CAC40",2024-09-23,2024-09-21,2024-09-24,2024-03-17,2024-09-27,2024-03-26,1.56898736774247,0.0820054838605475,0.0040666862947151,-0.00172213158371778,0.0395086654534082,-129
1,"Air France-KLM","France","EUR","AFPA","Euronext","CAC40",2024-09-23,2024-09-21,2024-09-24,2024-03-17,2024-09-27,2024-03-27,1.57016146933686,0.0748318067134835,0.00245089953877632,0.00664559835280543,0.00334771983009666,-128
1,"Air France-KLM","France","EUR","AFPA","Euronext","CAC40",2024-09-23,2024-09-21,2024-09-24,2024-03-17,2024-09-27,2024-03-28,1.57265179253587,0.158603000241588,0.000121879726648149,-5.81906208356808e-05,0.0133464807497651,-127
1,"Air France-KLM","France","EUR","AFPA","Euronext","CAC40",2024-09-23,2024-09-21,2024-09-24,2024-03-17,2024-09-27,2024-03-29,1.57127433873296,-0.0875879714409482,NA,0.000285150635187594,NA,-126
1,"Air France-KLM","France","EUR","AFPA","Euronext","CAC40",2024-09-23,2024-09-21,2024-09-24,2024-03-17,2024-09-27,2024-04-01,1.57574101532087,0.284270956242537,NA,-0.00379025877315467,NA,-125
1,"Air France-KLM","France","EUR","AFPA","Euronext","CAC40",2024-09-23,2024-09-21,2024-09-24,2024-03-17,2024-09-27,2024-04-02,1.57446877271484,-0.0807393216051877,-0.00923248283837906,-0.00622822821069104,-0.0428046077818151,-124
1,"Air France-KLM","France","EUR","AFPA","Euronext","CAC40",2024-09-23,2024-09-21,2024-09-24,2024-03-17,2024-09-27,2024-04-03,1.56927807274691,-0.329679448578501,0.00285115097693119,0.0018275841805253,-0.0125454874386405,-123
1,"Air France-KLM","France","EUR","AFPA","Euronext","CAC40",2024-09-23,2024-09-21,2024-09-24,2024-03-17,2024-09-27,2024-04-04,1.56913554564855,-0.00908233542816285,-0.000206053306480914,-0.00683653896915197,0.00963113324451843,-122
1,"Air France-KLM","France","EUR","AFPA","Euronext","CAC40",2024-09-23,2024-09-21,2024-09-24,2024-03-17,2024-09-27,2024-04-05,1.56880645413985,-0.0209727903755767,-0.0110702872459839,0.00473967238675732,-0.0282118809972403,-121
